Chain,Brand,Hotel,Confirm_No,Rez_Status_Desc,Status_Dt,Guest_Nm,Channel_Cd,Sec_Channel_Desc,Sub_Source,Sub_Src_CD,Location,Arrival_Dt,Depart_Dt,Nights_Qty,override_oversell,Room_Qty,Rate_Category_Name,Rate_Type_Code,Rez_Avg_Rate_Amt,Onshore_Rate_Type_Code,Onshore_Rez_Avg_Rate_Amt,Room_Type_Code,Record_Locator,Booker_Loyalty_Program_Level_List,Loyalty_Type,Loyalty_Program,Loyalty_Number,Loyalty_Level_Code,Loyalty_Level_Name,Loyalty_Points_Payment,Payment_Typ,VCC_Authorization_Amount,VCC_Currency_Code,VCC_Payment_Model,VCC_Card_Activation_Start,VCC_Card_Activation_End,Direct_Bill_Account_Number,Direct_Bill_Project_Number,Total_Points_Pymnt,Points_Refund,Total_Cash_Pymnt,Pay_At_Property,Cash_Refund,Total_Price_For_Adult,Total_Adult_Occupancy,Total_Price_For_Child_Age_Group1,Total_Child_Occupancy_For_Age_Group1,Total_Price_For_Child_Age_Group2,Total_Child_Occupancy_For_Age_Group2,Total_Price_For_Child_Age_Group3,Total_Child_Occupancy_For_Age_Group3,Total_Price_For_Child_Age_Group4,Total_Child_Occupancy_For_Age_Group4,Total_Price_For_Child_Age_Group5,Total_Child_Occupancy_For_Age_Group5,Total_Price_For_Child_Unknown_Age_Group,Total_Child_Occupancy_For_Unknown_Age_Group,Share_With,Channel_Connect_Confirm_NO,PMS_Confirm_Code,Original_Room_Type_Code,Original_Rm_Typ_Nm,Template_Code,Template_Name,Blacklist_Reason,Visa_Information,Installment_Amount,Number_of_Installments,Interest_Amount,Interest_Rate_Percentage,Total_Installment_Amount,Rate_Credential_ID,Trace_Date,Trace_Completion_Flag,Trace_Completion_Date,Trace_Text,RM_Upgrade_Reason_CD,ROOM_UPSELL,Room_To_Charge,Onhold_Duration,AutoCancel_ReleaseDateTime_ScheduledOrActual,Commission_Cd,Comm_Percent_Override_List,Coupon_Offer,Coupon_Discount_Total,Promotion,Promo_Discount,Maximum_Discount_Applied,Paynow_Discount,Fintech_Payment_Provider,Gift_Card_Paid,Gift_Card_Refund,Loyalty_Redemption_Reference,Award_Details
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG046507","Ignored","5/13/2026 9:56:19 PM","","WEB","Mobile","","","","5/18/2026 12:00:00 AM","5/20/2026 12:00:00 AM","2","No","1","Discount","DISMBDAY","138.950000","","","CSC","","","","","","","","No","","","","","","","","","0","","325.89","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG051823","Ignored","6/6/2026 10:38:35 AM","","WEB","Booking Engine","","","","9/9/2026 12:00:00 AM","9/13/2026 12:00:00 AM","4","No","1","Qualified Discount","DSADVMEM","126.000000","","","WSC","","","","","","","","No","","","","","","","","","0","","592.34","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG047628","Ignored","5/18/2026 6:40:37 AM","","WEB","Mobile","","","","7/10/2026 12:00:00 AM","7/14/2026 12:00:00 AM","4","No","1","Discount","DISMBDAY","147.690000","","","WSC","","","","","","","","No","","","","","","","","","0","","691.92","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG051013","Ignored","6/3/2026 5:01:24 AM","","WEB","Mobile","","","","10/21/2026 12:00:00 AM","10/27/2026 12:00:00 AM","6","No","1","Qualified Discount","MEMBERONLY","183.750000","","","WSC","","","","","","","","No","","","","","","","","","0","","1286.16","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","Lock in 20%(SAVE20)","-275.58","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG045720","Ignored","5/11/2026 12:56:27 PM","","WEB","Booking Engine","","","","5/14/2026 12:00:00 AM","5/16/2026 12:00:00 AM","2","No","1","Discount","DISMBDAY","196.000000","","","CSC","","","","","","","","No","","","","","","","","","0","","456.82","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG047005","Ignored","5/15/2026 7:31:30 PM","","WEB","Mobile","","","","5/26/2026 12:00:00 AM","5/27/2026 12:00:00 AM","1","No","1","Discount","DISMBDAY","86.800000","","","CSC","","","","","","","","No","","","","","","","","","0","","103.10","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG062232","Ignored","7/17/2026 3:12:48 PM","","WEB","Booking Engine","","","","7/17/2026 12:00:00 AM","7/22/2026 12:00:00 AM","5","No","1","Discount","5THNIGHT","183.200000","","","WSC","","","","","","","","No","","","","","","","","","0","","1068.60","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","5th Night On Us!(5THNIGHT)","-119.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG045947","Ignored","5/12/2026 1:18:02 AM","","WEB","Booking Engine","","","","5/18/2026 12:00:00 AM","5/19/2026 12:00:00 AM","1","No","1","Discount","DISBDAY","135.190000","","","CSC","","","","","","","","No","","","","","","","","","0","","158.63","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG045915","Ignored","5/11/2026 10:51:25 PM","","WEB","Mobile","","","","5/14/2026 12:00:00 AM","5/16/2026 12:00:00 AM","2","No","1","Discount","DISBDAY","224.000000","","","CSC","","","","","","","","No","","","","","","","","","0","","521.08","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","initialConfig","Initial Config","","","","","","","","","","Yes","","","","N","","0","","","","","0.00","","0.00","","0.00","","0.00","0.00","",""
"Now Now NoHo (34856)","","Now Now NoHo (97050)","97050SG061940","Ignored","7/16/2026 5:44:15 PM","","WEB","Mobile","","goog_organic","","10/1/2026 12:00:00 AM","10/2/2026 12:00:00 AM","1","No","1","Discount","DISDIR","154.000000","","","CSC","","","","","","","","No","","","","","","","","","0","","180.22","0.00","","0.00","1","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","0.00","0","No","","","","","meta","meta","","","","","","","","","","Yes","","","","N","","0","","10P","","","0.00","","0.00","","0.00","","0.00","0.00","",""
